127.0.0.1 - - [12/Oct/2024:12:34:16 +0530] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [12/Oct/2024:12:34:17 +0530] "GET /Online_Music_Store/Login.jsp HTTP/1.1" 200 3669
0:0:0:0:0:0:0:1 - - [12/Oct/2024:12:34:17 +0530] "GET /favicon.ico HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [12/Oct/2024:12:34:28 +0530] "POST /Online_Music_Store/LoginServlet HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [12/Oct/2024:12:34:28 +0530] "GET /Online_Music_Store/HomeServlet HTTP/1.1" 200 19137
0:0:0:0:0:0:0:1 - - [12/Oct/2024:12:39:31 +0530] "GET /Online_Music_Store/GetAllFeedBackServlet HTTP/1.1" 200 8132
0:0:0:0:0:0:0:1 - - [12/Oct/2024:12:46:08 +0530] "GET /Online_Music_Store/Home.jsp HTTP/1.1" 200 19137
0:0:0:0:0:0:0:1 - - [12/Oct/2024:12:46:10 +0530] "GET /Online_Music_Store/InsertFeedback.jsp HTTP/1.1" 200 4731
0:0:0:0:0:0:0:1 - - [12/Oct/2024:12:46:15 +0530] "GET /Online_Music_Store/Home.jsp HTTP/1.1" 200 19137
0:0:0:0:0:0:0:1 - - [12/Oct/2024:12:46:17 +0530] "GET /Online_Music_Store/GetAllFeedBackServlet HTTP/1.1" 200 8132
0:0:0:0:0:0:0:1 - - [12/Oct/2024:12:46:32 +0530] "GET /Online_Music_Store/GetAllFeedBackServlet HTTP/1.1" 200 8132
0:0:0:0:0:0:0:1 - - [12/Oct/2024:12:49:00 +0530] "GET /Online_Music_Store/ContactUs.jsp HTTP/1.1" 200 3774
0:0:0:0:0:0:0:1 - - [12/Oct/2024:12:50:10 +0530] "GET /Online_Music_Store/Home.jsp HTTP/1.1" 200 19137
0:0:0:0:0:0:0:1 - - [12/Oct/2024:12:50:21 +0530] "GET /Online_Music_Store/UserProfileServlet HTTP/1.1" 200 3625
0:0:0:0:0:0:0:1 - - [12/Oct/2024:12:50:45 +0530] "GET /Online_Music_Store/Home.jsp HTTP/1.1" 200 19137
0:0:0:0:0:0:0:1 - - [12/Oct/2024:12:50:54 +0530] "GET /Online_Music_Store/Home.jsp HTTP/1.1" 200 19137
0:0:0:0:0:0:0:1 - - [12/Oct/2024:12:53:30 +0530] "GET /Online_Music_Store/GetAllFeedBackServlet HTTP/1.1" 200 8132
0:0:0:0:0:0:0:1 - - [12/Oct/2024:12:57:39 +0530] "GET /Online_Music_Store/Home.jsp HTTP/1.1" 200 19137
0:0:0:0:0:0:0:1 - - [12/Oct/2024:13:00:28 +0530] "GET /Online_Music_Store/InsertFeedback.jsp HTTP/1.1" 200 4731
0:0:0:0:0:0:0:1 - - [12/Oct/2024:13:00:35 +0530] "GET /Online_Music_Store/InsertFeedback.jsp HTTP/1.1" 200 4731
0:0:0:0:0:0:0:1 - - [12/Oct/2024:13:01:04 +0530] "GET /Online_Music_Store/InsertFeedback.jsp HTTP/1.1" 200 4731
0:0:0:0:0:0:0:1 - - [12/Oct/2024:13:01:40 +0530] "GET /Online_Music_Store/InsertFeedback.jsp HTTP/1.1" 200 4731
0:0:0:0:0:0:0:1 - - [12/Oct/2024:13:01:50 +0530] "GET /Online_Music_Store/GetAllFeedBackServlet HTTP/1.1" 200 8132
0:0:0:0:0:0:0:1 - - [12/Oct/2024:13:01:56 +0530] "GET /Online_Music_Store/InsertFeedback.jsp HTTP/1.1" 200 4731
0:0:0:0:0:0:0:1 - - [12/Oct/2024:13:02:18 +0530] "GET /Online_Music_Store/GetAllFeedBackServlet HTTP/1.1" 200 8132
0:0:0:0:0:0:0:1 - - [12/Oct/2024:13:02:36 +0530] "GET /Online_Music_Store/UserProfileServlet HTTP/1.1" 200 3625
0:0:0:0:0:0:0:1 - - [12/Oct/2024:13:03:01 +0530] "GET /Online_Music_Store/UserProfileServlet HTTP/1.1" 200 3625
0:0:0:0:0:0:0:1 - - [12/Oct/2024:13:03:43 +0530] "GET /Online_Music_Store/InsertFeedback.jsp HTTP/1.1" 200 4731
0:0:0:0:0:0:0:1 - - [12/Oct/2024:13:05:22 +0530] "GET /Online_Music_Store/UserProfileServlet HTTP/1.1" 200 3625
0:0:0:0:0:0:0:1 - - [12/Oct/2024:13:05:24 +0530] "GET /Online_Music_Store/Login.jsp HTTP/1.1" 200 3669
0:0:0:0:0:0:0:1 - - [12/Oct/2024:13:05:26 +0530] "GET /Online_Music_Store/AdminLogin.jsp HTTP/1.1" 200 2686
0:0:0:0:0:0:0:1 - - [12/Oct/2024:13:05:33 +0530] "POST /Online_Music_Store/AdminLoginServlet HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [12/Oct/2024:13:05:33 +0530] "GET /Online_Music_Store/AdminDashboardServlet HTTP/1.1" 200 4074
0:0:0:0:0:0:0:1 - - [12/Oct/2024:13:05:36 +0530] "GET /Online_Music_Store/AdminGetAllFeedBackServlet HTTP/1.1" 200 11723
0:0:0:0:0:0:0:1 - - [12/Oct/2024:13:05:42 +0530] "GET /Online_Music_Store/FetchUserServlet HTTP/1.1" 200 15670
0:0:0:0:0:0:0:1 - - [12/Oct/2024:14:49:57 +0530] "GET /Online_Music_Store/AdminDashboardServlet HTTP/1.1" 200 4074
