127.0.0.1 - - [08/Dec/2024:01:10:11 +0530] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [08/Dec/2024:01:10:12 +0530] "GET /Online_Music_Store/Register.jsp HTTP/1.1" 200 4386
0:0:0:0:0:0:0:1 - - [08/Dec/2024:01:10:13 +0530] "GET /favicon.ico HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [08/Dec/2024:01:10:40 +0530] "POST /Online_Music_Store/InsertUserServlet HTTP/1.1" 500 3864
0:0:0:0:0:0:0:1 - - [08/Dec/2024:01:13:20 +0530] "GET /Online_Music_Store/Login.jsp HTTP/1.1" 200 3669
0:0:0:0:0:0:0:1 - - [08/Dec/2024:01:13:23 +0530] "GET /Online_Music_Store/AdminLogin.jsp HTTP/1.1" 200 2686
0:0:0:0:0:0:0:1 - - [08/Dec/2024:01:13:24 +0530] "GET /Online_Music_Store/Login.jsp HTTP/1.1" 200 3669
0:0:0:0:0:0:0:1 - - [08/Dec/2024:01:13:25 +0530] "GET /Online_Music_Store/Register.jsp HTTP/1.1" 200 4386
0:0:0:0:0:0:0:1 - - [08/Dec/2024:01:13:45 +0530] "POST /Online_Music_Store/InsertUserServlet HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [08/Dec/2024:01:16:07 +0530] "GET /Online_Music_Store/Register.jsp HTTP/1.1" 200 4386
0:0:0:0:0:0:0:1 - - [08/Dec/2024:01:16:26 +0530] "POST /Online_Music_Store/InsertUserServlet HTTP/1.1" 404 682
